FPA_time,MAV_time,Check,FPA_total_points,MAV_total_points,FPA_total_nodes,MAV_total_nodes
29,2472,1,2,2,4,2998
168,3093,1,7,7,14,3932
1164,4086,1,5,5,10,4176
670,4005,1,9,9,18,4840
403,5230,1,13,13,26,6234
63,3077,1,4,4,8,3606
1949,3768,1,7,7,14,4032
1291,6629,1,6,6,12,6448
111,7589,1,6,6,12,8896
806,6195,1,7,7,14,7658
