FPA_time,MAV_time,Check,FPA_total_points,MAV_total_points,FPA_total_nodes,MAV_total_nodes
371,3806,1,7,7,14,4612
731,4344,1,7,7,14,5282
763,1947,1,10,10,20,2528
900,4008,1,5,5,10,5162
1170,3709,1,9,9,18,4948
451,2350,1,8,8,16,3278
448,2189,1,5,5,10,2872
27,2701,1,2,2,4,3560
1076,3365,1,8,8,16,4476
128,2679,1,6,6,12,3660
