FPA_time,MAV_time,Check,FPA_total_points,MAV_total_points,FPA_total_nodes,MAV_total_nodes
389,25010,1,7,7,14,20428
1630,20091,1,12,12,24,16204
3901,13760,1,12,12,24,11304
979,14811,1,8,8,16,11932
1870,16443,1,13,13,26,12882
3377,18510,1,11,11,22,14644
307,21064,1,9,9,18,16956
4004,13423,1,14,14,28,10804
1756,22407,1,11,11,22,18730
442,21857,1,7,7,14,17856
