FPA_time,MAV_time,Check,FPA_total_points,MAV_total_points,FPA_total_nodes,MAV_total_nodes
976,2997,1,7,7,14,4130
346,3153,1,5,5,10,4290
2588,3184,1,8,8,16,4346
171,1749,1,5,5,10,2428
2105,3576,1,10,10,20,4952
572,4255,1,8,8,16,5916
435,3805,1,6,6,12,5158
801,2752,1,8,8,16,3756
924,3465,1,10,10,20,4806
45,1888,1,4,4,8,2546
