FPA_time,MAV_time,Check,FPA_total_points,MAV_total_points,FPA_total_nodes,MAV_total_nodes
556,0,0,6,0,12,0
780,0,0,11,0,22,0
854,0,0,11,0,22,0
356,0,0,6,0,12,0
1655,0,0,27,0,54,0
1606,0,0,30,0,60,0
1752,0,0,20,0,40,0
1363,0,0,22,0,44,0
995,0,0,12,0,24,0
2182,0,0,31,0,62,0
