FPA_time,MAV_time,Check,FPA_total_points,MAV_total_points,FPA_total_nodes,MAV_total_nodes
760,11278,1,6,6,12,9304
1195,21034,1,11,11,22,17140
2059,25606,1,10,10,20,20740
3545,24911,1,13,13,26,20308
200,12781,1,5,5,10,10334
2659,18476,1,10,10,20,14924
528,11001,1,6,6,12,9142
1147,13573,1,9,9,18,10944
3429,22138,1,13,13,26,18106
3059,21453,1,12,12,24,17798
