FPA_time,MAV_time,Check,FPA_total_points,MAV_total_points,FPA_total_nodes,MAV_total_nodes
4553,42459,1,12,12,24,12728
4113,36264,0,11,12,22,10884
3902,45439,1,10,10,20,13754
2053,51793,0,7,8,14,15840
842,52983,0,3,4,6,16144
3822,45302,1,10,10,20,13714
6754,47852,1,13,13,26,14248
1776,48365,0,9,7,18,14074
2005,23216,1,8,8,16,6966
3523,41137,0,9,10,18,12452
