FPA_time,MAV_time,Check,FPA_total_points,MAV_total_points,FPA_total_nodes,MAV_total_nodes
1099,36852,1,3,3,6,10844
5349,55507,1,11,11,22,16400
3002,40891,0,7,8,14,11998
2910,30728,1,9,9,18,9196
3722,43962,1,11,11,22,13110
3040,37688,0,8,9,16,10972
4953,43232,0,11,7,22,12628
3374,59699,0,7,8,14,17538
5930,59120,0,15,16,30,17396
475,18825,1,2,2,4,5650
