FPA_time,MAV_time,Check,FPA_total_points,MAV_total_points,FPA_total_nodes,MAV_total_nodes
1086,10611,1,6,6,12,3800
2434,11867,1,10,10,20,4456
2464,9441,1,10,10,20,3426
1308,8881,1,7,7,14,3372
723,7036,1,4,4,8,2686
1398,9690,1,7,7,14,3854
313,6705,1,3,3,6,2614
2632,10856,1,9,9,18,4148
1553,11285,1,6,6,12,4188
764,11038,1,3,3,6,4128
