FPA_time,MAV_time,Check,FPA_total_points,MAV_total_points,FPA_total_nodes,MAV_total_nodes
2687,55474,0,10,8,20,16878
3156,33522,1,5,5,10,10016
2102,27808,1,7,7,14,8374
2518,31458,1,7,7,14,9324
2837,39783,1,8,8,16,11940
1929,41354,1,6,6,12,12440
4648,43451,1,10,10,20,13242
4143,30862,0,8,9,16,9210
3783,46702,1,11,11,22,14236
2778,33922,1,8,8,16,10008
