NVars,NUpperRun,MeanFPA_time,MeanMAV_time,MeanCheck,MeanFPA_total_points,MeanMAV_total_points,MeanFPA_total_nodes,MeanMAV_total_nodes,StdDevFPA_time,StdDevMAV_time,StdDevCheck,StdFPA_total_points,StdMAV_total_points,StdFPA_total_nodes,StdMAV_total_nodes,MaxFPA_time,MaxMAV_time,MaxCheck,MaxFPA_total_points,MaxMAV_total_points,MaxFPA_total_nodes,MaxMAV_total_nodes,MinFPA_time,MinMAV_time,MinCheck,MinFPA_total_points,MinMAV_total_points,MinFPA_total_nodes,MinMAV_total_nodes
20,6,1225.9,9273.8,0.9,5.9,6.0,11.8,3538.2,472.6895739630115,2240.6524248282885,0.31622776601683794,1.7288403306519922,1.7638342073763937,3.4576806613039843,888.8356678511751,2192.0,12436.0,1.0,10.0,10.0,20.0,4696.0,552.0,6191.0,0.0,4.0,4.0,8.0,2408.0
20,7,1316.0,9930.2,0.8,6.2,6.1,12.4,3908.0,621.0297899456998,2716.3932295928325,0.42163702135578396,1.8135294011647258,1.7919573407620815,3.6270588023294517,999.2379318482883,2294.0,15250.0,1.0,9.0,9.0,18.0,5584.0,333.0,7104.0,0.0,4.0,4.0,8.0,2796.0
20,8,1225.3,8351.0,0.7,5.6,6.0,11.2,3256.4,513.8218562887337,1853.6729305174993,0.48304589153964794,1.3498971154211057,1.699673171197595,2.6997942308422114,760.8479480158963,2349.0,11228.0,1.0,8.0,9.0,16.0,4462.0,334.0,5376.0,0.0,3.0,3.0,6.0,2060.0
20,9,1532.8,11088.0,0.8,6.6,6.4,13.2,4286.6,929.2364607568948,2501.789181987785,0.42163702135578396,2.6749870196985173,2.4585451886114367,5.3499740393970345,989.3441374073141,3406.0,14738.0,1.0,10.0,9.0,20.0,5752.0,222.0,7177.0,0.0,2.0,2.0,4.0,2708.0
30,0,3116.6,38854.3,0.5,8.8,9.2,17.6,11662.4,1414.7136498638552,9414.58923456332,0.5270462766947299,3.705851229249946,3.5527766918597945,7.411702458499892,2869.586234207914,6579.0,56352.0,1.0,18.0,18.0,36.0,17100.0,1590.0,26123.0,0.0,5.0,5.0,10.0,7862.0
30,1,3334.3,43481.0,0.5,9.2,9.4,18.4,13080.4,1713.6809018406354,8684.471352170302,0.5270462766947299,2.820559440174158,2.716206504995115,5.641118880348316,2644.4047093186527,6754.0,52983.0,1.0,13.0,13.0,26.0,16144.0,842.0,23216.0,0.0,3.0,4.0,6.0,6966.0
30,2,2753.5,38651.3,0.5,7.7,8.0,15.4,11481.6,1421.4867217107587,8087.042641026308,0.5270462766947299,3.2335051500740732,2.8674417556808756,6.4670103001481465,2506.053612976209,6029.0,46785.0,1.0,12.0,12.0,24.0,14026.0,1136.0,20784.0,0.0,3.0,3.0,6.0,6040.0
30,3,2572.7,37517.3,0.6,7.2,7.6,14.4,11157.2,1663.458849639643,8583.72891062568,0.5163977794943223,3.359894178227774,3.596294389136314,6.719788356455548,2601.6547213050562,6294.0,50981.0,1.0,14.0,15.0,28.0,15284.0,557.0,23556.0,0.0,2.0,2.0,4.0,6900.0
30,4,2903.7,36784.2,0.7,8.4,8.1,16.8,10837.6,2422.009452683637,10391.5157679501,0.48304589153964794,6.669999167083073,6.2441083341730135,13.339998334166147,3216.813302357198,7911.0,57967.0,1.0,22.0,21.0,44.0,17590.0,193.0,22957.0,0.0,1.0,1.0,2.0,6706.0
30,5,3385.4,42650.4,0.5,8.4,8.4,16.8,12573.2,1734.9949855835318,12911.617741828912,0.5270462766947299,3.921450978627398,4.005551702879947,7.842901957254796,3772.196554322752,5930.0,59699.0,1.0,15.0,16.0,30.0,17538.0,475.0,18825.0,0.0,2.0,2.0,4.0,5650.0
30,6,3248.3,42017.8,0.8,8.1,8.1,16.2,12576.8,1725.483252760094,9541.629977222037,0.42163702135578396,3.725288952252936,3.6651512019742563,7.450577904505872,2900.6064040319416,6799.0,56085.0,1.0,15.0,15.0,30.0,17060.0,458.0,27816.0,0.0,1.0,1.0,2.0,8112.0
30,7,3655.4,40586.5,0.5,9.0,9.2,18.0,12278.0,3525.5122937430433,19031.17536657506,0.5270462766947299,5.57773351022717,5.266244708835067,11.15546702045434,5857.695640968574,13027.0,81836.0,1.0,22.0,21.0,44.0,24922.0,816.0,22272.0,0.0,3.0,3.0,6.0,6686.0
30,8,3058.1,38433.6,0.8,8.0,7.9,16.0,11566.8,881.0103354167368,8548.134535934987,0.42163702135578396,1.8856180831641267,1.7919573407620817,3.7712361663282534,2680.277630727417,4648.0,55474.0,1.0,11.0,11.0,22.0,16878.0,1929.0,27808.0,0.0,5.0,5.0,10.0,8374.0
30,9,2297.5,41958.8,0.6,6.0,6.5,12.0,12527.6,966.1639209897161,14189.873155802972,0.5163977794943223,2.1081851067789197,1.7795130420052185,4.216370213557839,4416.716910406039,4020.0,73507.0,1.0,10.0,10.0,20.0,22230.0,832.0,24666.0,0.0,2.0,4.0,4.0,6740.0
